2026-05-03 08:58:54 AUDIT | timestamp=2026-05-03T03:28:54.171071800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:54 AUDIT | timestamp=2026-05-03T03:28:54.198050400Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:54 AUDIT | timestamp=2026-05-03T03:28:54.413855100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:56 AUDIT | timestamp=2026-05-03T03:28:56.572831500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:57 AUDIT | timestamp=2026-05-03T03:28:57.219464700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:59 AUDIT | timestamp=2026-05-03T03:28:59.615740300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:59 AUDIT | timestamp=2026-05-03T03:28:59.939143300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:00 AUDIT | timestamp=2026-05-03T03:29:00.232757600Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:00 AUDIT | timestamp=2026-05-03T03:29:00.262418200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:00 AUDIT | timestamp=2026-05-03T03:29:00.447737300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:02 AUDIT | timestamp=2026-05-03T03:29:02.664479100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:02 AUDIT | timestamp=2026-05-03T03:29:02.985689500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:05 AUDIT | timestamp=2026-05-03T03:29:05.714878100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:06 AUDIT | timestamp=2026-05-03T03:29:06.031635700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:06 AUDIT | timestamp=2026-05-03T03:29:06.264537600Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:06 AUDIT | timestamp=2026-05-03T03:29:06.290336100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:08 AUDIT | timestamp=2026-05-03T03:29:08.758218300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:09 AUDIT | timestamp=2026-05-03T03:29:09.080527800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:11 AUDIT | timestamp=2026-05-03T03:29:11.488558200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:11 AUDIT | timestamp=2026-05-03T03:29:11.810775800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:11 AUDIT | timestamp=2026-05-03T03:29:11.934918900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:12 AUDIT | timestamp=2026-05-03T03:29:12.119706700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:12 AUDIT | timestamp=2026-05-03T03:29:12.303945700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:12 AUDIT | timestamp=2026-05-03T03:29:12.330117300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:13 AUDIT | timestamp=2026-05-03T03:29:13.916352500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=BLOCK | attackType=THROTTLE_ABUSE | statusCode=429
2026-05-03 08:59:14 AUDIT | timestamp=2026-05-03T03:29:14.524170300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:14 AUDIT | timestamp=2026-05-03T03:29:14.844335600Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:16 AUDIT | timestamp=2026-05-03T03:29:16.976287900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:17 AUDIT | timestamp=2026-05-03T03:29:17.562181Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:17 AUDIT | timestamp=2026-05-03T03:29:17.964046300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:18 AUDIT | timestamp=2026-05-03T03:29:18.138761200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:20 AUDIT | timestamp=2026-05-03T03:29:20.018861900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:20 AUDIT | timestamp=2026-05-03T03:29:20.627503700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:20 AUDIT | timestamp=2026-05-03T03:29:20.904870800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:21 AUDIT | timestamp=2026-05-03T03:29:21.002578800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:21 AUDIT | timestamp=2026-05-03T03:29:21.102773500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:21 AUDIT | timestamp=2026-05-03T03:29:21.661782900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:21 AUDIT | timestamp=2026-05-03T03:29:21.971630700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:22 AUDIT | timestamp=2026-05-03T03:29:22.032218200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:22 AUDIT | timestamp=2026-05-03T03:29:22.143576500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:22 AUDIT | timestamp=2026-05-03T03:29:22.698180700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:23 AUDIT | timestamp=2026-05-03T03:29:23.007877600Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:23 AUDIT | timestamp=2026-05-03T03:29:23.057548700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:23 AUDIT | timestamp=2026-05-03T03:29:23.264740800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:23 AUDIT | timestamp=2026-05-03T03:29:23.338873100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:23 AUDIT | timestamp=2026-05-03T03:29:23.369304500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:23 AUDIT | timestamp=2026-05-03T03:29:23.762418700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:59:24 AUDIT | timestamp=2026-05-03T03:29:24.182199200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:26 AUDIT | timestamp=2026-05-03T03:29:26.070242500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:26 AUDIT | timestamp=2026-05-03T03:29:26.095167200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:26 AUDIT | timestamp=2026-05-03T03:29:26.255182400Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:26 AUDIT | timestamp=2026-05-03T03:29:26.413674500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:29 AUDIT | timestamp=2026-05-03T03:29:29.116317100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:29 AUDIT | timestamp=2026-05-03T03:29:29.130601200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
